Article No,Document link ,Article name ,Author ,Publicaiton Year,Paper type ,Studies Paper ID,,,,
15,https://dl.acm.org/doi/abs/10.5555/2819009.2819079,Teaching Software Architectture to Undergraduate Students: An Experience Report,"Chandan R. Rupakheti, Stephen Chenoweth",2015,,S15,,,,
16,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6142927,Providing end-to-end perspectives in software engineering,M. Herold; J. Bolinger; R. Ramnath; T. Bihari; J. Ramanathan,2012,,S16,,,,
17,https://doi.org/10.1145/3377814.3381704,Using public and free platform-as-a-service (PaaS) based lightweight projects for software architecture education,Zheng Li,2020,,S17,,,,
18,https://doi.org/10.1007/s10664-023-10347-2,A study of documentation for software architecture,"Ernst, Neil A. Robillard, Martin P",2023,,S18,,,,
19,https://dl.acm.org/doi/10.1145/2889160.2889187,What Makes Teaching Software Architecture Difficult?,"Mathhias Galster, Samuil Angelov. ",2016,,S19,,,,
20,https://doi.org/10.1145/1921607.1921612,Extensive Evaluation of Using a Game Project in a Software Architecture Course,Alf Inge Wang,2011,,S20,,,,
21,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9478817,"The Role of Modelling in Business Software Development: Case Study of Teaching and Industrial Practice in Zrenjanin, Serbia",L. Kazi,2021,,S21,,,,
22,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044176,Teaching effective requirements engineering for large-scale software development with scaffolding,M. Felfgen; O. Cula,2015,,S22,,,,
23,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7883317,Smart Decisions: An Architectural Design Game,H. Cervantes; S. Haziyev; O. Hrytsay; R. Kazman,2017,,S23,,,,
24,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10554737,Teaching Software Development for Real-World Problems Using a Microservice-Based Collaborative Problem-Solving Approach,Y. M. Lau; C. M. Koh; L. Jiang,2014,,S24,,,,
25,https://dl.acm.org/doi/10.1145/3270112.3270129,"How do we teach Modelling and Model-Driven Engineering? A
 Survey","Federico Ciccozzi, Michalis Famelis, Gerti Kappel, Leen Lambers, Sebastien Mosser, Richard F. Paige, Alfonso Pierantonio, Arend Rensink, Rick Salay, Gabi Taentzer, Antonio Vallecillo, Manuel Wimmer",2018,,S25,,,,
26,https://doi.org/10.1007/978-3-030-01069-0_39,Queueing Modeling in the Course in Software Architecture Design,"Liubchenko, Vira",2019,,S26,,,,
27,https://doi.org/10.1007/978-3-031-36847-9_6,A Better Way to Teach Software Architecture,"Pelliccione, Patrizio
Kazman, Rick
Weber, Ingo
Liu, Anna",2023,,S27,,,,
28,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474678,Ranking task activity in teaching software engineering,Y. Tao; G. Liu; J. Mottok; R. Hackenberg; G. Hagel,2016,,S28,,,,
29,"https://link.springer.com/article/10.1007/s10639-023-12149-x
https://files.eric.ed.gov/fulltext/EJ1329338.pdf",Training software architects suiting software industry needs: A literature review,"Wilson Libardo Pantoja Yépez, Julio Ariel Hurtado Alegría, Ajay Bandi & Arvind W. Kiwelekar ",2023,Peer Reviewed,S29,,,,
30,https://eric.ed.gov/?q=Using+Apprenticeship+and+Product+Based+Learning+to+Improve+Programming+Outcomes+in+Introductory+Computer+Science+Courses&id=ED662820 ,Using Apprenticeship and Product Based Learning to Improve Programming Outcomes in Introductory Computer Science Courses,"Giovanni Gonzalez, Araujo",2024,Peer Reviewed,S30,,,,
31,https://eric.ed.gov/?q=A+Patterns+Based+Approach+for+the+Design+of+Educational+Technologies&id=EJ1390842 ,A patterns-based approach for the design of educational technologies,"Chimalakonda, Sridhar
Nori, Kesav V.",2023,Peer Reviewed,S31,,,,
32,https://files.eric.ed.gov/fulltext/EJ1329338.pdf ,Teaching Software Engineering using Abstraction through Modelling,"Dorodchi, Mohsen
Dehbozorgi, Nasrin
Fallahian, Mohammadali
Pouriyeh, Seyedamin",2021,Peer Reviewed,S32,6,,,
33,https://files.eric.ed.gov/fulltext/EJ1329338.pdf ,"Characterizing Student Proficiency in Software Modeling in Terms of Functions, Structures, and Behaviours","Thomas, Paul JoseKutty",2021,Peer Reviewed,S33,7,,,
34,https://eric.ed.gov/?q=Redesigning+an+Introductory+Programming+Course+to+Facilitate+Effective+Student+Learning%3a+A+Case+Study&id=EJ1268919,Redesigning an Introductory Programming Course to Facilitate Effective Student Learning: A Case Study,"Corritore, Cynthia
Love, Betty",2020,Peer Reviewed,S34,8,,,
35,https://eric.ed.gov/?q=Integrating+Open-Source+Tools+for+Embedded+Software+Teaching%3a+A+Case+Study&id=EJ1236921,Integrating Open-Source Tools for Embedded Software Teaching: A Case Study,"Rafique, Muhammad Usman
Mohammed, Aquil Mirza
Li, Shuai
Khan, Ameer Tamoor
Kadry, Seifedine",2019,Peer Reviewed,S35,10,,,
36,https://eric.ed.gov/?q=Students%27+Attitudes+towards+Group-Based+Project+Exams+in+Two+Engineering+Programmes&id=EJ1108373,Students' Attitudes towards Group-Based Project Exams in Two Engineering Programmes,"Dahl, Bettina
Kolmos, Anette",2015,Peer Reviewed,S36,11,,,
37,https://eric.ed.gov/?q=Early-Stage+Software+Design+for+Usability&id=ED524782,Early-Stage Software Design for Usability,"Golden, Elspeth",2010,Peer Reviewed,S37,12,,,
38,https://doi.org/10.1145/3702163.3702414 ,Effective Teaching Strategies for Large Classes: A Case Study in Software Architecture Education,"Castro, Laura M.
Hidalgo, Mauricio
Astudillo, Hernán",2024,Conference,S38,13,,,
39,https://doi.org/10.3390/mti7030031,Toward Creating Software Architects Using Mobile Project-Based Learning Model (Mobile-PBL) for Teaching Software Architecture,"Al-Qora'n, Lamis Farah
Jawarneh, Ali
Nganji, Julius Tanyu",2023,Journal Article,S39,,,,
40,https://doi.org/10.3390/mti7030031,Teaching Students Software Architecture Decision Making,"Capilla, Rafael
Zimmermann, Olaf
Carrillo, Carlos
Astudillo, Hernán",2020,Conference,S40,14,,,
41,https://doi.org/10.1145/3209087.3209096,Scrum as a Method of Teaching Software Architaecture,"Wedemann, Gero",2018,Conference,S41,15,,,
42,https://doi.org/10.1109/FIE.2018.8658714,Teaching Adult Learners on Software Architecture Design Skills,"Lieh, Ouh Eng
Irawan, Yunghans",2018,Conference,S42,2,,,
43,https://doi.org/10.5220/0006257702490255,Learning Environment for Problem-based Learning in Teaching Software Components and Service-oriented Architecture (SOA),"Ramachandran, Muthu
Sedeeq, Rezan",2017,Conference,S43,3,,,
44,http://aisel.aisnet.org/hicss-50/st/sw_product_lines/3,Towards a Software Product Line Architecture to Build M-learning Applications for the Teaching of Programming,"Marcolino, Anderson Silva
Barbosa, Ellen Francine",2017,Conference,S44,,,,
45,https://doi.org/10.1145/2889160.2889185,Reflections on applying constructive alignment with formative feedback for teaching introductory programming and software architecture,"Cain, Andrew
Babar, Muhammad Ali",2016,Conference,S45,17,,,
46,https://doi.org/10.1109/FIE.2015.7344345,A quasi-network-based fly-by-wire simulation architecture for teaching software engineering,"Tappan, Dan",2015,Conference,S46,,,,
47,https://doi.org/10.1145/1810295.1810388,VisAr3D: an approach to software architecture teaching based on virtual and augmented reality,"Rodrigues, Claudia Susie C.",2010,Conference,S47,,,,
48,https://doi.org/10.3390/app142311158,Action Research Approach to Analysis of Teaching of Blockchain Web3.0 Application Based on MACH Architecture,"Gokmen Katipoglu, Semih Utku, Ivan Mijailovic, Edis Mekic, Dzenan Avdic, Petar Milic",2024,Journal Article,S48,,,,
49,https://ieeexplore-ieee-org.ezproxy.canberra.edu.au/document/9274014,Did our Course Design on Software Architecture meet our Student’s Learning Expectations?,"Eng Lieh Ouh, Benjamin Kok Siew Gan, Yunghans Irawan",2020,Conference,S49,,,,
50,https://link.springer.com/article/10.1007/s00004-022-00608-w,Learning by Doing: Integrating Shape Grammar as a Visual Coding Tool in Architectural Curricula,"El-Mahdy, D.",2022,Journal Article,S50,,,,
51,https://sol.sbc.org.br/index.php/cibse/article/view/20964,An Overview of Software Architecture Education,"B. R. N Oliveira, L Garcés, KT Lyra, D. S Santos, S Isotani, E. Y Nakagawa",2022,Journal Article,S51,,,,
52,https://www.worldscientific.com/doi/epdf/10.1142/S0218194023500031,Aligning Software Architecture Training with Software Industry Requirements,"Wilson Libardo Pantoja Yepez, Julio Ariel Hurtado Alegria, and Arvind Kiweleker",2023,Journal Article,S52,,,,
53,https://iopscience.iop.org/article/10.1088/1757-899X/291/1/012006,Case study on perspicacity of collaborative learning experiences,"Abdullah, Fadzidah; Majid, Noor Hanita Abdul; Numen, Ibrahim; Azmin, Aida Kesuma; Abd Rahim, Zaiton; Denan, Zuraini; Sisman, Muhammet Emin",2018,Report,S53,,,,
54,https://ieeexplore.ieee.org/abstract/document/8659200?casa_token=vFMTZs6GGXgAAAAA:EgeAJSYFiGLMFglCoNaWdqqGppSRcTuuanTcbKrcmOoTbbAbrvqN0kZx9iiXcsuFoSGVJ_GelEY,Exploring Experiential Learning Model and Risk Management Process for an Undergraduate Software Architecture Course,"Lieh, Ouh Eng; Irawan, Yunghans",2018,Conference,S54,,,,
55,https://www.emerald.com/insight/content/doi/10.1108/arch-10-2020-0234/full/html,COVID-19 responsive teaching of undergraduate architecture programs in India: learnings for post-pandemic education,"Varma, A.Jafri, M. S.",2021,Journal Article,S55,,,,
56,https://ri.conicet.gov.ar/handle/11336/86933,Project and Team-Based Strategies for Teaching Software Architecture*,"Vidoni, Melina; Marcelo Montagna, Jorge; Vecchietti, Aldo",2018,Journal Article,S56,,,,
57,https://dl.acm.org/doi/10.1145/3593663.3593694,Using Architectural Kata in Software Architecture Course: An Experience Report,"Nasir, Usman",2023,Report,S57,,,,
58,https://dl-acm-org.ezproxy.canberra.edu.au/doi/10.1145/3017680.3017737,A Collaborative Approach to Teaching Software Architecture,"van Deursen, Arie; Aniche, Mauricio; Aue, Joop; Slag, Rogier",2017,Conference,S58,,,,
59,https://dl-acm-org.ezproxy.canberra.edu.au/doi/10.1145/3304221.3319737,Applying Case-Based Learning for a Postgraduate Software Architecture Course ,"Ouh, Eng Lieh; Irawan, Yunghans	",2019,Conference,S59,,,,
60,https://ieeexplore-ieee-org.ezproxy.canberra.edu.au/document/9137231,Flipping Laboratory Sessions: An Experience in Computer Science,"Parejo, Jose A.; Troya, Javier; Segura, Sergio; Del-Rio-Ortega, Adela; Gamez-Diaz, Antonio; Marquez-Chamorro, Alfonso E.",2020,Journal Article,S60,,,,
61,https://research.vu.nl/en/publications/decidarch-playing-cards-as-software-architects,DecidArch: Playing Cards as Software Architects,"Lago, Patricia; Cai, Jia F.; de Boer, Remco C.; Kruchten, Philippe; Verdecchia, Roberto",2019,Conference,S61,,,,
62,doi: 10.1109/FIE44824.2020.9274255,Flipped Classroom Applied to Software Architecture Teaching,"Anderson Cavalcante Gonçalves, et. al.",2020,Conference,S62,1,,,
63,10.1109/MS.2016.142,Embedded Software Architects Its Not Only about the Software,Pablo Oliveira Antonino,2016,Journal Article,S63,2,,,
64,,Role-playing software architecture styles,Laura M. Castro,2023,Conference,S64,3,,,
65,,Exploration on Theoretical and Practical Projects of Software Architecture Course,Li Zhang,2020,Conference,S65,4,,,
66,,Exploration and practice of software engineering core curriculum construction,Guangquan Zhang,2011,Conference,S66,5,,,
67,,Teaching data structures and Software Architecture while constructing curriculum platform,Min CAO,2011,Journal Article,S67,6,,,
68,DOI: 10.1109/CSEET.2013.6595239,Archinotes: A tool for assisting software architecture courses,J. S. Urrego and D. Correal,2013,Conference,S68,7,,,
69,DOI: 10.1109/ICSA56044.2023.00019,The beauty of software architecture,C. M. Aldenhoven and R. S. Engelschall,2023,Conference,S69,8,,,
70,DOI: 10.1109/IC3e.2017.8409234,Comparative critiquing and example-based approach for learning client-server design,N. A. A. Jamal and N. M. Ali,2017,Conference,S70,9,,,
71,DOI: 10.1109/ICCSE49874.2020.9201757,Experimental Teaching Reform to Embedded System Curriculum,"X. Liu, Y. Zhao, J. Yuan, W. Rao, L. Lu and F. Huang",2020,Conference,S71,10,,,
72,DOI: 10.1109/APSEC57359.2022.00076,Threshold Concepts and Skills in Software Architecture: Instructors’ Perspectives,U. Nasir and M. Laiq,2022,Conference,S73,,,,
73,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9962680,A Comprehensive Experiment Approach to Enhancing Computer Engineering Ability,L. Zhang; J. Niu,2022,Conference,S74,,,,
74,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6140611,A Middleware Platform for Providing Mobile and Embedded Computing Instruction to Software Engineering Students,C. A. Mattmann; N. Medvidovic; S. Malek; G. Edwards; S. Banerjee,2012,Conference,S75,,,,
75,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5978540,Applying a distributed CSCL activity for teaching software architecture,F. D. Giraldo; S. F. Ochoa; M. Herrera; A. Neyem; J. L. Arciniegas; C. Clunie; S. Zapata; F. Lizano,2011,Conference,S76,15,,,
76,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8226416,ATAM-RPG: A role-playing game to teach architecture trade-off analysis method (ATAM),C. H. Montenegro; H. Astudillo; M. C. G??mez ??lvarez,2017,Conference,S77,16,,,
77,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8712358,DecidArch V2: An Improved Game to Teach Architecture Design Decision Making,R. C. de Boer; P. Lago; R. Verdecchia; P. Kruchten,2019,Conference,S78,17,,,
78,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028600,Does Cyclic Learning have Positive Impact on Teaching Object-Oriented Programming?,V. Niculescu; C. ??erban; A. Vescan,2020,Conference,S79,18,,,
79,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405130,Forming software architects in early stages: From craft to engineering,B. Ricardo Gacit??a; M. Di??guez; E. Vidal,2018,Conference,S80,19,,,
80,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6220720,Intelligent teaching models for STEM related careers using a service-oriented architecture and management science,N. El-Bathy; C. Gloster; G. Azar; M. El-Bathy; G. Stein; R. Stevenson,2012,Conference,S81,20,,,
81,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5876116,Making the comprehension of software architecture attractive,C. S. C. Rodrigues; C. M. L. Werner,2011,Conference,S82,21,,,
82,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9820348,PlantUMLGen: A tool for teaching Model Driven Development,B. ; J. Castillo,2022,Conference,S83,22,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Year Publication ,No. of Studies,,,,,,
,,,2010,3,,,,,,
,,,2011,5,,,,,,
,,,2012,4,,,,,,
,,,2013,1,,,,,,
,,,2014,1,,,,,,
,,,2015,4,,,,,,
,,,2016,5,,,,,,
,,,2017,7,,,,,,
,,,2018,11,,,,,,
,,,2019,6,,,,,,
,,,2020,9,,,,,,
,,,2021,6,,,,,,
,,,2022,6,,,,,,
,,,2023,10,,,,,,
,,,2024,4,,,,,,
,,,,82,,,,,,
